number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
0,-1.0,2026-06-30 11:41:52.269481,2026-06-30 11:41:52.447160,0 days 00:00:00.177679,733.1629684764162,-67.27827820780647,-860.438564558855,-693.9846331657011,-87.88833836117749,-356.6656260538273,194.18250609715915,379.1252741693104,,COMPLETE
1,-1.0,2026-06-30 11:41:52.479365,2026-06-30 11:41:52.601297,0 days 00:00:00.121932,670.9739863502646,-72.22791256095354,919.1827820589053,-983.2594728829274,-895.7900719370249,-432.99347278493826,310.81903225897213,-223.71935547753515,,COMPLETE
2,-1.0,2026-06-30 11:41:52.623289,2026-06-30 11:41:52.725366,0 days 00:00:00.102077,452.6962464907117,-841.1317440206983,521.7910727350131,519.1104551409514,-349.11212253464737,201.5134732117972,460.9036301542146,-920.399302351755,,COMPLETE
3,-1.0,2026-06-30 11:41:52.740272,2026-06-30 11:41:52.805558,0 days 00:00:00.065286,45.59272446913701,-213.0662683959183,318.01358689750805,-806.2162150807787,-893.0014886529877,223.44802357394633,436.0177563220593,-829.9342934287135,,COMPLETE
4,-1.0,2026-06-30 11:41:52.819277,2026-06-30 11:41:52.892051,0 days 00:00:00.072774,-823.8806048184483,-340.6672525786787,-842.7117496457695,674.9596267183015,-829.6720320534043,503.64762161577573,223.55430902091712,15.420680848643428,,COMPLETE
5,-1.0,2026-06-30 11:41:52.909564,2026-06-30 11:41:52.994010,0 days 00:00:00.084446,454.82878645494065,-740.2789832390115,-583.1745259012553,-384.8975006900919,-283.0579305503343,-952.0439447946098,-501.37881317710134,457.2847939267265,,COMPLETE
6,-1.0,2026-06-30 11:41:53.008493,2026-06-30 11:41:53.128507,0 days 00:00:00.120014,75.8299033257365,342.8926748900469,-5.291798713030289,-929.3627536614557,455.2799220198913,678.2664975785299,-183.07313348684602,-9.512178145597318,,COMPLETE
7,-1.0,2026-06-30 11:41:53.159599,2026-06-30 11:41:53.261089,0 days 00:00:00.101490,-872.3933723092933,262.8091364495133,298.42259483524253,241.98193357819446,-557.5455781695453,-212.63276569913296,469.9544195001399,-996.8532226697364,,COMPLETE
8,-1.0,2026-06-30 11:41:53.275044,2026-06-30 11:41:53.343557,0 days 00:00:00.068513,-313.774578036075,-188.18053154215875,736.5765899485921,232.55467191385242,-932.8599388440215,-595.2804737742363,-626.2472800510184,327.87475701427957,,COMPLETE
9,-1.0,2026-06-30 11:41:53.354541,2026-06-30 11:41:53.426391,0 days 00:00:00.071850,465.16505057737277,-316.4180644723074,940.6937728294454,-564.1320461169481,552.3643191047925,-370.61892193541655,201.03966974488662,-548.0404440689264,,COMPLETE
10,-1.0,2026-06-30 11:41:53.443881,2026-06-30 11:41:53.554455,0 days 00:00:00.110574,939.6813701945119,931.12185452338,-266.6059916249267,-194.3569088273722,54.21072843959547,985.7655741952573,974.1078562022167,955.2688529614601,,COMPLETE
11,-1.0,2026-06-30 11:41:53.569820,2026-06-30 11:41:53.745864,0 days 00:00:00.176044,997.9322278168388,230.64697972300343,-907.7656724710461,-995.2875813137949,935.839827349503,-184.53646522841075,-161.29873199140417,-288.7926505221724,,COMPLETE
12,-1.0,2026-06-30 11:41:53.774707,2026-06-30 11:41:53.998315,0 days 00:00:00.223608,746.1687128175073,14.324322032380138,-194.17335759014895,-573.6732151014962,191.19385201242847,-684.2316541068096,861.294299789351,768.9533459846941,,COMPLETE
13,-1.0,2026-06-30 11:41:54.027605,2026-06-30 11:41:54.197691,0 days 00:00:00.170086,625.5561447534706,709.310041436587,-454.8606628206729,-126.16268752929875,-97.64514551934809,15.27514910508512,-124.26087849130442,310.85783166572,,COMPLETE
14,-1.0,2026-06-30 11:41:54.231527,2026-06-30 11:41:54.544085,0 days 00:00:00.312558,105.89630827510848,-566.0505404096757,80.20848730034811,-635.9731757253345,-586.2530865719011,-505.1652905769786,-874.7287120215587,-179.39729743273563,,COMPLETE
15,-1.0,2026-06-30 11:41:54.573939,2026-06-30 11:41:54.723831,0 days 00:00:00.149892,753.3373715470811,518.3174062719918,946.8736626894603,993.801846309751,995.0296228120566,-842.7008121910062,681.0983990478625,574.6034071402577,,COMPLETE
16,-1.0,2026-06-30 11:41:54.750208,2026-06-30 11:41:54.972244,0 days 00:00:00.222036,263.5350406455498,23.66335269151172,-674.4150661772412,-738.712532474627,370.93595617360717,-421.36931025647476,117.50695454905849,-369.52051116622897,,COMPLETE
17,-1.0,2026-06-30 11:41:54.993231,2026-06-30 11:41:55.114232,0 days 00:00:00.121001,-276.68739695054404,2.2444963793490444,448.63866652880574,-334.10775646658533,-605.7340042082707,-139.2911100168841,18.599389168114385,116.79029106341613,,COMPLETE
18,-1.0,2026-06-30 11:41:55.139987,2026-06-30 11:41:55.283129,0 days 00:00:00.143142,756.9082660694621,-515.7310046027094,-996.1628669317441,-973.7840128996371,753.6314446636021,-746.915983433297,-447.8828782079395,-568.4345836523169,,COMPLETE
19,-1.0,2026-06-30 11:41:55.309274,2026-06-30 11:41:55.429883,0 days 00:00:00.120609,-231.4504782772981,524.9817734637704,676.7993099548863,-412.06761697588126,-240.98521290588982,130.90267961205996,713.057239788251,696.8995523423107,,COMPLETE
20,-1.0,2026-06-30 11:41:55.445336,2026-06-30 11:41:55.542092,0 days 00:00:00.096756,318.9563618127965,-528.0557549371063,80.57145963120843,21.152782277869164,151.32065935900079,-334.2233558010133,440.24602397499353,184.36363944134175,,COMPLETE
